
> funcqc@0.1.0 dev
> tsx src/cli.ts list --limit 898

ID       Name                            CC LOC File                                     Location
-------- ------------------------------- -- --- ---------------------------------------- --------
8c1cd4e6 getQualityThresholds             1   5 src/config/thresholds-simple.ts          52-54
584d6df2 updateThresholds                 1   6 src/config/thresholds-simple.ts          59-62
86e3da73 validateThresholds               1  18 src/config/thresholds-simple.ts          67-91
cf6c3cf2 mergeWithDefaults                1  13 src/config/thresholds-simple.ts          96-107
23b0c181 parseQualityThresholdConfig      7  15 src/config/thresholds-simple.ts          113-130
45c0b4b1 parseNumberField                 2   7 src/config/thresholds-simple.ts          135-141
2dfe9000 parseThresholdSection            4  17 src/config/thresholds-simple.ts          146-165
359c0a4b parseQualityThresholds           5  40 src/config/thresholds-simple.ts          167-215
189285a2 constructor                      1   5 src/core/analyzer.ts                     9-14
7ea0feb7 analyzeFile                      1  15 src/core/analyzer.ts                     19-75
aa5ec035 analyzeFiles                     3   8 src/core/analyzer.ts                     80-102
55fb3367 getAnalyzerForFile               1  15 src/core/analyzer.ts                     107-124
5c50127f isFileSupported                  1   5 src/core/analyzer.ts                     129-131
169789bc getSupportedExtensions           1   5 src/core/analyzer.ts                     136-138
8710fae4 validateFunction                 3   8 src/core/analyzer.ts                     143-200
af096cb4 generateFunctionId               1  12 src/core/analyzer.ts                     205-216
37c11b5a simpleHash                       1   9 src/core/analyzer.ts                     218-226
f2d32e40 compareFunctions                 1  30 src/core/analyzer.ts                     231-268
3562d911 load                             1   1 src/core/config.ts                       57-75
864047e0 getDefaults                      1   3 src/core/config.ts                       77-79
27f56545 loadLightweight                  1  21 src/core/config.ts                       85-107
e3c8acd0 validateAndMergeConfig           1  13 src/core/config.ts                       109-123
bf1851b1 mergeArrayConfigs                1   1 src/core/config.ts                       125-143
5e353ff4 mergeStorageConfig               1   1 src/core/config.ts                       145-159
a6460e53 mergeMetricsConfig               1   1 src/core/config.ts                       161-175
b8f793c7 mergeGitConfig                   1   1 src/core/config.ts                       177-187
e2b8c051 mergeSimilarityConfig            1   1 src/core/config.ts                       189-197
3d812a44 resolvePath                      1  10 src/core/config.ts                       202-211
7853a0e0 getConfigPath                    1   6 src/core/config.ts                       216-219
97e9caa0 getThresholdManager              1   8 src/core/config.ts                       224-229
006291b1 getQualityThresholds             1   5 src/core/config.ts                       234-236
25da9dbb updateQualityThresholds          1   1 src/core/config.ts                       241-251
53f02f3c clearCache                       1   8 src/core/config.ts                       256-261
007230fb generateScanConfigHash           1  12 src/core/config.ts                       267-276
071e3855 getCurrentScanConfigHash         1   6 src/core/config.ts                       281-284
0cc43dc4 mergeThresholdsConfig            1   1 src/core/config.ts                       286-290
ce06e329 mergeAssessmentConfig            1   1 src/core/config.ts                       292-296
3dc69c89 mergeProjectContextConfig        1   1 src/core/config.ts                       298-302
4fa315ff mergeFuncqcThresholdsConfig      1   1 src/core/config.ts                       304-316
31e4caaf validateThresholds               1  15 src/core/config.ts                       318-335
f81a13c1 validateMultiLevelThreshold      2   5 src/core/config.ts                       337-347
2a6f4f7d validateThresholdValue           1  21 src/core/config.ts                       349-374
2ab155eb validateAssessmentConfig         3   5 src/core/config.ts                       376-406
155a5559 validateProjectContext           1  20 src/core/config.ts                       408-432
20bae8a2 assessProject                    1   1 src/core/risk-assessor.ts                23-93
3b080e72 assessFunction                   1   1 src/core/risk-assessor.ts                98-121
3eb08069 getViolations                    1  17 src/core/risk-assessor.ts                126-142
c795165b getContextualThresholds          1  21 src/core/risk-assessor.ts                147-173
ea481714 adjustForExperienceLevel         1  14 src/core/risk-assessor.ts                178-190
54c79acc adjustForProjectType             1  14 src/core/risk-assessor.ts                195-207
1abde765 adjustForCodebaseSize            1  14 src/core/risk-assessor.ts                212-224
f6431b31 scaleNumericThresholds           3  13 src/core/risk-assessor.ts                229-251
422adcf8 createAssessmentSummary          1   1 src/core/risk-assessor.ts                256-305
e23dd86e calculate                        1   3 src/metrics/quality-calculator.ts        9-67
9b215029 isFunctionLike                   1   9 src/metrics/quality-calculator.ts        69-77
2b6ca33d calculateFromText                3   4 src/metrics/quality-calculator.ts        79-102
0d0c6e68 calculateLinesOfCode             1  16 src/metrics/quality-calculator.ts        104-122
4a825087 calculateTotalLines              1   3 src/metrics/quality-calculator.ts        124-126
442652bc calculateCyclomaticComplexity   13  24 src/metrics/quality-calculator.ts        128-160
